text,response
"motivation are introduced in Section 2. The details of our optimization
framework are described in Section 3. The experimental evaluation
is conducted in Section 4. A discussion is given in Section 5. The
conclusion is presented in Section 6.

2. Background and motivation

2.1. Pruning-based approximation

Neural network pruning, one of the most representative model compression techniques, approximates the original neural network model
by reducing redundant neurons or connections making less contribution to model performance. Most previous works on pruning-based
approximation can be roughly divided into two categories: unstructured
pruning and structured pruning.

Prior works on weight pruning [4,5] achieve high non-structured
sparsity of pruned models by removing single parameters in a filter. Guo et al. [4] and Hal et al. [5] used magnitude-based pruning
methods, which eliminate weights with the smallest magnitude. Guo
et al. [4] proposed dynamic network surgery to reduce the network","Question 1: What is the main idea of the text?
Answer 1: The main idea of the text is to introduce a new optimization framework for neural network models.

     Question 2: What are the details of the optimization framework described in Section 3?
Answer 2: The details of the optimization framework described in Section 3 are the pruning-based approximation and the structured pruning.

     Question 3: What is the purpose of the experimental evaluation in Section 4?
Answer 3: The purpose of the experimental evaluation in Section 4 is to evaluate the performance of the optimized models."
"sparsity of pruned models by removing single parameters in a filter. Guo et al. [4] and Hal et al. [5] used magnitude-based pruning
methods, which eliminate weights with the smallest magnitude. Guo
et al. [4] proposed dynamic network surgery to reduce the network
complexity by making on-the-fly connection pruning. Hal et al. [5]
pruned low-weight connections to reduce the storage and computation
demands by an order of magnitude. Some pruning research groups
utilize first-order or second-order derivatives of the loss function with
respect to the weights [6,7]. Hassibi et al. [6] proposed Optimal Brain
Damage (OBD), which uses all second-order derivatives of the loss

function to prune single non-essential weights. Optimal Brain Surgeon
(OBS) [7] have optimized the OBD method, which considers the condition that the Hessian matrix is non-diagonal. These approaches show
attractive theoretical performance improvement but are difficult to
be supported by existing software and hardware. Unstructured sparse","Question 1: What are the two methods of pruning used in the text?
Answer 1: Magnitude-based pruning and dynamic network surgery.

     Question 2: What is the purpose of pruning according to the text?
Answer 2: To reduce the storage and computation demands by an order of magnitude.

     Question 3: What are two approaches used for pruning according to the text?
Answer 3: Optimal Brain Damage (OBD) and Optimal Brain Surgeon (OBS)."
"(OBS) [7] have optimized the OBD method, which considers the condition that the Hessian matrix is non-diagonal. These approaches show
attractive theoretical performance improvement but are difficult to
be supported by existing software and hardware. Unstructured sparse
models require specific matrix multiplication calculations and storage formats, which can hardly leverage existing high-efficiency BLAS
libraries.

Unlike the early efforts on unstructured pruning that may cause
irregular calculation patterns, structured pruning reduces redundant
computations on unimportant filters or channels to produce a structured sparse model. The corresponding feature maps can be deleted as
the filters are pruned. Therefore, much recent work has focused on filter
pruning methods. SFP [2] and ASFP [8] dynamically pruned the filters
in a soft manner, which zeroizes the unimportant filters and keeps
updating them in the training stage. Li et al. [9] presented a fusion-","Question 1: What are the main challenges in optimizing the OBD method?
Answer 1: The main challenges in optimizing the OBD method are the condition that the Hessian matrix is non-diagonal and the difficulty in supporting these approaches with existing software and hardware.

     Question 2: What are unstructured sparse models?
Answer 2: Unstructured sparse models are models that require specific matrix multiplication calculations and storage formats, which can hardly leverage existing high-efficiency BLAS libraries.

     Question 3: What are filter pruning methods?
Answer 3: Filter pruning methods are methods that dynamically prune filters in a soft manner, which zeroizes the unimportant filters and keeps updating them in the training stage."
"the filters are pruned. Therefore, much recent work has focused on filter
pruning methods. SFP [2] and ASFP [8] dynamically pruned the filters
in a soft manner, which zeroizes the unimportant filters and keeps
updating them in the training stage. Li et al. [9] presented a fusioncatalyzed filter pruning approach, which simultaneously optimizes the
parametric and non-parametric operators. Luo et al. [10] pruned filters
based on statistics information computed from its next layer. The filters
of different layers may have different influences on model prediction. Li
et al. [11] proposed a flexible-rate filter pruning approach, FlexPruner,
which automatically selects the number of filters to be pruned for
each layer. Plochaet et al. [12] introduced a hardware-aware pruning
method with the goal of decreasing the inference time for FPGA deep
learning accelerators, adaptively pruning the neural network based on
the size of the systolic array used to calculate the convolutions. To","Question 1: What is the main focus of much recent work in deep learning?
Answer 1: The main focus of much recent work in deep learning is on filter pruning methods.

     Question 2: What is the purpose of dynamically pruning filters in a soft manner?
Answer 2: The purpose of dynamically pruning filters in a soft manner is to zeroize the unimportant filters and keep updating them in the training stage.

     Question 3: What is the goal of Li et al.'s fusioncatalyzed filter pruning approach?
Answer 3: The goal of Li et al.'s fusioncatalyzed filter pruning approach is to simultaneously optimize the parametric and non-parametric operators."
"each layer. Plochaet et al. [12] introduced a hardware-aware pruning
method with the goal of decreasing the inference time for FPGA deep
learning accelerators, adaptively pruning the neural network based on
the size of the systolic array used to calculate the convolutions. To
preserve the robustness at a high sparsity ratio in structured pruning,
Zhuang et al. [13] proposed an effective filter importance criterion to
evaluate the importance of filters by estimating their contribution to
the adversarial training loss. Besides, some researchers have found
the value of network pruning in discovering the network architecture
[14,15]. Liu et al. [14] demonstrated that in some cases pruning can
be useful as an architecture search paradigm. Li et al. [15] proposed
a random architecture search to find a good architecture given a
pre-defined model by channel pruning. Li et al. [16] proposed an endto-end channel pruning method to search out the desired sub-network","Question 1: What is the goal of the hardware-aware pruning method introduced by Plochaet et al.?
Answer 1: To decrease the inference time for FPGA deep learning accelerators by adaptively pruning the neural network based on the size of the systolic array used to calculate the convolutions.

     Question 2: What is the importance criterion proposed by Zhuang et al. to evaluate the importance of filters in structured pruning?
Answer 2: An effective filter importance criterion to estimate the contribution of filters to the adversarial training loss.

     Question 3: Can pruning be useful as an architecture search paradigm?
Answer 3: Yes, according to Liu et al., pruning can be useful as an architecture search paradigm in some cases."
"be useful as an architecture search paradigm. Li et al. [15] proposed
a random architecture search to find a good architecture given a
pre-defined model by channel pruning. Li et al. [16] proposed an endto-end channel pruning method to search out the desired sub-network
automatically and efficiently, which learns per-layer sparsity through
depth-wise binary convolution. Ding et al. [17] presented a neural
architecture search with pruning method, which derives the most potent model by removing trivial and redundant edges from the whole
neural network topology. The structured sparse model can be perfectly
supported by existing libraries to achieve a realistic acceleration. In
this paper, we adopt filter pruning to realize practical performance
improvement for neural network models.

2.2. Staging-based approximation

Prior studies [18,19] found that the difficulty of classifying an image
in real-world scenarios is diverse. The easy samples can be classified","Question 1: What is the main contribution of Li et al. [15]?
Answer: Li et al. [15] proposed a random architecture search to find a good architecture given a pre-defined model by channel pruning.

     Question 2: What is the proposed method in Li et al. [16]?
Answer: Li et al. [16] proposed an end-to-end channel pruning method to search out the desired sub-network automatically and efficiently, which learns per-layer sparsity through depth-wise binary convolution.

     Question 3: What is the main contribution of Ding et al. [17]?
Answer: Ding et al. [17] presented a neural architecture search with pruning method, which derives the most potent model by removing trivial and redundant edges from the whole neural network topology."
"this paper, we adopt filter pruning to realize practical performance
improvement for neural network models.

2.2. Staging-based approximation

Prior studies [18,19] found that the difficulty of classifying an image
in real-world scenarios is diverse. The easy samples can be classified
with low effort, and difficult samples consume more computation efforts for prediction. Staging-based approximate strategies, such as early
exiting [18] and layer skipping [20], emerge as a prominent important
technique for separating the classification of easy and hard inputs.
The original neural network uses a fixed computation process for the
prediction of all samples. Staging-based approximate strategies perform
adaptive computing for samples according to conditions at run-time.
Teerapittayanon et al. [18] demonstrated that the deep neural network
with additional side branch classifiers can both improve accuracy and
significantly reduce the inference time of the network. Panda et al. [19]","Question 1: What technique do the authors adopt to realize practical performance improvement for neural network models?
Answer 1: Filter pruning.

     Question 2: What are staging-based approximation techniques?
Answer 2: Early exiting and layer skipping.

     Question 3: What is the main idea of Teerapittayanon et al.'s work?
Answer 3: That a deep neural network with additional side branch classifiers can both improve accuracy and significantly reduce the inference time of the network."
"adaptive computing for samples according to conditions at run-time.
Teerapittayanon et al. [18] demonstrated that the deep neural network
with additional side branch classifiers can both improve accuracy and
significantly reduce the inference time of the network. Panda et al. [19]
proposed Conditional Deep Learning cascading a linear network for
each convolutional layer and monitoring the output of the linear network to decide whether classification can be terminated at the current
stage or not. Fang et al. [21] presented an input-adaptive framework
for video analytics, which adopts an architecture search-based scheme
to find the optimal architecture for each early exit branch. Wang

JournalofSystemsArchitecture143(2023)1029782G. Li et al.

et al. [22] designed dynamic layer-skipping mechanisms, which suppress unnecessary costs for easy samples and halt inference for all
samples to meet resource constraints for the inference of more compli-","Question 1: What is adaptive computing?
Answer 1: Adaptive computing is a technique that enables a system to adjust its computing resources according to the conditions at run-time.

     Question 2: What did Teerapittayanon et al. demonstrate?
Answer 2: Teerapittayanon et al. demonstrated that a deep neural network with additional side branch classifiers can both improve accuracy and significantly reduce the inference time of the network.

     Question 3: What did Fang et al. present?
Answer 3: Fang et al. presented an input-adaptive framework for video analytics, which adopts an architecture search-based scheme to find the optimal architecture for each early exit branch."
"JournalofSystemsArchitecture143(2023)1029782G. Li et al.

et al. [22] designed dynamic layer-skipping mechanisms, which suppress unnecessary costs for easy samples and halt inference for all
samples to meet resource constraints for the inference of more complicated CNN backbones. Figurnov et al. [23] studied early termination in
each residual unit of ResNets. Farhadi et al. [23] implemented an earlyexiting method on the FPGA platform using partial reconfiguration to
reduce the amount of needed computation. Jayakodi et al. [24] used
Bayesian Optimization to configure the early exit neural networks to
trade off accuracy and energy. To reduce unnecessary intermediate
calculations in the inference process of Branchynet, Liang et al. [25]
directly determined the exit position of the sample in the multi-branch
network according to the difficulty of the sample without intermediate
trial errors. Jo et al. [26] proposed a low-cost early exit network, which","Question 1: What is the main contribution of the paper by Li et al.?
Answer: The main contribution of the paper by Li et al. is the design of dynamic layer-skipping mechanisms to suppress unnecessary costs for easy samples and halt inference for all samples to meet resource constraints for the inference of more complicated CNN backbones.

     Question 2: What did Figurnov et al. study in their paper?
Answer: Figurnov et al. studied early termination in each residual unit of ResNets.

     Question 3: What is the main idea behind the earlyexiting method proposed by Farhadi et al.?
Answer: The main idea behind the earlyexiting method proposed by Farhadi et al. is to reduce the amount of needed computation on the FPGA platform using partial reconfiguration."
"calculations in the inference process of Branchynet, Liang et al. [25]
directly determined the exit position of the sample in the multi-branch
network according to the difficulty of the sample without intermediate
trial errors. Jo et al. [26] proposed a low-cost early exit network, which
significantly improves energy efficiencies by reducing the parameters
used in inference with efficient branch structures.
In this paper, we
achieve a multi-stage approximate model by early exiting to accelerate
model inference for input samples in real-world scenarios.

2.3. Design space exploration

Design space exploration (DSE) is a systematic analysis method,
which searches for the optimal solutions in a large design space according to the requirements. For example, in the staging-based approximate
strategy, deciding whether or not an exit branch should be inserted at
some position in the middle of the neural network model, and how
the thresholds for each exit point should be set can be seen as a DSE","Question 1: What does the text say about the exit position of the sample in the multi-branch network?
Answer 1: According to the text, the exit position of the sample in the multi-branch network is directly determined by the difficulty of the sample without intermediate trial errors.

     Question 2: What is the purpose of the low-cost early exit network proposed by Jo et al.?
Answer 2: The purpose of the low-cost early exit network proposed by Jo et al. is to significantly improve energy efficiencies by reducing the parameters used in inference with efficient branch structures.

     Question 3: What is the main contribution of the paper?
Answer 3: The main contribution of the paper is achieving a multi-stage approximate model by early exiting to accelerate model inference for input samples in real-world scenarios."
"ing to the requirements. For example, in the staging-based approximate
strategy, deciding whether or not an exit branch should be inserted at
some position in the middle of the neural network model, and how
the thresholds for each exit point should be set can be seen as a DSE
problem. Panda et al. [19] and Teerapittayanon et al. [18] empirically
set the location and threshold for each exit in the conditional neural
network model. Jayakodi et al. [24] found the best thresholds via
Bayesian Optimization for the specified trade-off between accuracy
and energy consumption of inference. Park et al. [27] systematically
determined the locations and thresholds of exit branches by genetic
algorithm. Park et al. [28] integrated the once-for-all technique and
BPNet, which consider architectures of base network and exit branches
simultaneously in the same search process. Besides, the fine-grained filter pruning, that is assign reasonable pruning rates for different layers,","Question 1: What is the main problem addressed in the text?
Answer 1: The main problem addressed in the text is Design Space Exploration (DSE) for neural network models.

     Question 2: How did Panda et al. [19] and Teerapittayanon et al. [18] set the location and threshold for each exit in the conditional neural network model?
Answer 2: Panda et al. [19] and Teerapittayanon et al. [18] empirically set the location and threshold for each exit in the conditional neural network model through experimentation.

     Question 3: How did Jayakodi et al. [24] find the best thresholds for the specified trade-off between accuracy and energy consumption of inference?
Answer 3: Jayakodi et al. [24] found the best thresholds via Bayesian Opt"
"algorithm. Park et al. [28] integrated the once-for-all technique and
BPNet, which consider architectures of base network and exit branches
simultaneously in the same search process. Besides, the fine-grained filter pruning, that is assign reasonable pruning rates for different layers,
can also be considered as a classic DSE problem. Li et al. [11] proposed
a flexible-rate filter pruning method, which selects the filters to be
pruned with a greedy-based strategy. He et al. [29] sampled design
space using reinforcement learning, which performs customizing pruning for each layer, thus improving model compression. Qian et al. [30]
proposed a hierarchical threshold pruning method, which considers
the filter importance within relatively redundant layers instead of all
layers, achieving layerwise pruning for a better network structure. In
this paper, we regard the configuration parameters of staging-based
and pruning-based approximate strategies as the whole design space","Question 1: What is the main contribution of Park et al. [28] in the field of DSE?
Answer 1: Park et al. [28] integrated the once-for-all technique and BPNet, which consider architectures of base network and exit branches simultaneously in the same search process.

     Question 2: What is the key idea of Li et al. [11]'s proposed method for filter pruning?
Answer 2: Li et al. [11] proposed a flexible-rate filter pruning method, which selects the filters to be pruned with a greedy-based strategy.

     Question 3: What is the main advantage of Qian et al. [30]'s proposed method for DSE?
Answer 3: Qian et al. [30] proposed a hierarchical threshold pruning method, which considers the filter importance within relatively"
"the filter importance within relatively redundant layers instead of all
layers, achieving layerwise pruning for a better network structure. In
this paper, we regard the configuration parameters of staging-based
and pruning-based approximate strategies as the whole design space
and employ a genetic algorithm(GA)-based DSE to automatically find
the (near-)optimal configuration to effectively combine them, achieving
efficient on-device inference. In the future, we will consider setting
reasonable pruning rates for different layers.

2.4. Motivation

The pruning-based approximate strategy focuses on compressing the
model, which reduces the computation costs by deleting unimportant
parameters in the model, so how to set the pruning rate needs to be
considered. The staging-based approximate strategy concentrates on
improving the execution speed of the model, which allows the inference
of most simple samples to terminate with a good prediction in the","Question 1: What is the main goal of the paper?
Answer 1: The main goal of the paper is to achieve efficient on-device inference by automatically finding the (near-)optimal configuration of layerwise pruning for a better network structure.

     Question 2: What is the focus of the pruning-based approximate strategy?
Answer 2: The focus of the pruning-based approximate strategy is to compress the model by deleting unimportant parameters in the model, which reduces the computation costs.

     Question 3: What is the main objective of the staging-based approximate strategy?
Answer 3: The main objective of the staging-based approximate strategy is to improve the execution speed of the model, which allows the inference of most simple samples to terminate with a good prediction in the shortest time possible."
"parameters in the model, so how to set the pruning rate needs to be
considered. The staging-based approximate strategy concentrates on
improving the execution speed of the model, which allows the inference
of most simple samples to terminate with a good prediction in the
earlier stage by attaching multiple exits in the original model. How
to place the exits and how to set a threshold for each exit should
be considered for the design of a staging-based approximate strategy.
Combining different approximate strategies will involve more configuration parameters and the approximate strategies may affect each other,
which potentially influences the effect of the model optimization.

Fig. 1. The optimization effect for ResNet-56 using different configuration parameters
under the specified accuracy requirement.

Fig. 1 shows the optimization effect of the ResNet-56 using different
configuration parameters under the specified requirements of accuracy","Question 1: What are the configuration parameters considered in the staging-based approximate strategy?
Answer 1: The configuration parameters considered in the staging-based approximate strategy include how to place the exits and how to set a threshold for each exit.

     Question 2: How does the staging-based approximate strategy improve the execution speed of the model?
Answer 2: The staging-based approximate strategy improves the execution speed of the model by allowing the inference of most simple samples to terminate with a good prediction in the earlier stage by attaching multiple exits in the original model.

     Question 3: How does the combination of different approximate strategies affect the effect of the model optimization?
Answer 3: The combination of different approximate strategies may affect each other and potentially influences the effect of the model optimization.

Note: The numbers in the output are for illustration purposes only and do not reflect the actual values used"
"Fig. 1. The optimization effect for ResNet-56 using different configuration parameters
under the specified accuracy requirement.

Fig. 1 shows the optimization effect of the ResNet-56 using different
configuration parameters under the specified requirements of accuracy
on the CIFAR-10 dataset, where the triples (𝑥, 𝑦, 𝑧) represent the number
of stages, stage threshold, and pruning rate, respectively. Fig. 1(a), (b),
and (c) show the computational costs (normalized to the computational
cost of the baseline model) of various optimization configurations
when the accuracy is 98.1%, 98.7%, and 98.8% (normalized to the
accuracy of the baseline model). In practice, a certain error can be
allowed in model accuracy (±0.001), for example, 98.09%, and 98.12%
both meet the requirement of 98.1%. The relationship between the
number of stages and the computational cost is not regular, which
will be affected by the stage threshold and pruning rate, for example,","Question 1: What is shown in Fig. 1?
Answer 1: The optimization effect of the ResNet-56 using different configuration parameters under the specified requirements of accuracy on the CIFAR-10 dataset.

     Question 2: What do the triples (𝑥, 𝑦, 𝑧) represent in Fig. 1?
Answer 2: The number of stages, stage threshold, and pruning rate, respectively.

     Question 3: What is the relationship between the number of stages and the computational cost shown in Fig. 1?
Answer 3: The relationship is not regular and will be affected by the stage threshold and pruning rate."
